2020_Passenger_Rank, Airport_Name , City_Name , State_Name , Average_Fare , Sample_Size 
114,Asheville Regional,Asheville,NC,296.31," 15,417 "
115,Huntsville International-Carl T Jones Field,Huntsville,AL,516.82," 14,961 "
116,Hector International,Fargo,ND,403.40," 14,872 "
117,Rogue Valley International - Medford,Medford,OR,336.72," 14,869 "
118,Westchester County,White Plains,NY,390.59," 14,570 "
119,Long Island MacArthur,Islip,NY,261.72," 14,530 "
120,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,416.12," 14,364 "
121,Fort Wayne International,Fort Wayne,IN,360.64," 14,350 "
122,Northwest Florida Beaches International,Panama City,FL,388.97," 14,194 "
123,South Bend International,South Bend,IN,348.90," 13,793 "
124,Lubbock Preston Smith International,Lubbock,TX,399.72," 13,788 "
125,Lovell Field,Chattanooga,TN,429.30," 13,326 "
126,Wilmington International,Wilmington,NC,413.15," 13,077 "
127,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,296.82," 12,746 "
128,Roberts Field,Bend/Redmond,OR,337.12," 12,509 "
129,Appleton International,Appleton,WI,399.27," 12,215 "
130,Hilo International,Hilo,HI,178.11," 12,094 "
131,Billings Logan International,Billings,MT,397.94," 12,050 "
132,Bishop International,Flint,MI,282.06," 11,993 "
133,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,503.40," 11,912 "
134,Tri Cities,Pasco/Kennewick/Richland,WA,395.42," 11,705 "
135,Burlington International,Burlington,VT,413.95," 11,596 "
136,McAllen Miller International,Mission/McAllen/Edinburg,TX,393.72," 11,491 "
137,General Downing - Peoria International,Peoria,IL,338.39," 11,481 "
138,Fairbanks International,Fairbanks,AK,420.60," 11,087 "
139,Missoula International,Missoula,MT,398.97," 10,386 "
140,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,468.86," 10,352 "
141,Atlantic City International,Atlantic City,NJ,112.63," 10,197 "
142,Santa Barbara Municipal,Santa Barbara,CA,405.74," 10,103 "
143,Cyril E King,Charlotte Amalie,VI,345.75," 10,006 "
144,Quad City International,Moline,IL,370.44," 9,868 "
145,Rick Husband Amarillo International,Amarillo,TX,408.59," 9,769 "
146,Tallahassee International,Tallahassee,FL,479.57," 9,618 "
147,Augusta Regional at Bush Field,Augusta,GA,430.90," 9,538 "
148,Bismarck Municipal,Bismarck/Mandan,ND,383.77," 9,435 "
149,Shreveport Regional,Shreveport,LA,474.74," 8,869 "
150,Corpus Christi International,Corpus Christi,TX,451.86," 8,745 "
151,Rapid City Regional,Rapid City,SD,409.44," 8,653 "
152,Glacier Park International,Kalispell,MT,396.51," 8,569 "
153,Akron-Canton Regional,Akron,OH,342.00," 8,533 "
154,Snohomish County,Everett,WA,274.98," 8,406 "
155,Valley International,Harlingen/San Benito,TX,298.48," 8,403 "
156,Green Bay Austin Straubel International,Green Bay,WI,471.77," 8,207 "
157,Mobile Regional,Mobile,AL,461.15," 8,113 "
158,Charlottesville Albemarle,Charlottesville,VA,420.49," 8,104 "
159,Roanoke Blacksburg Regional Woodrum Field,Roanoke,VA,448.90," 7,934 "
160,Daytona Beach International,Daytona Beach,FL,397.45," 7,911 "
161,Gulfport-Biloxi International,Gulfport/Biloxi,MS,425.29," 7,841 "
162,Scott AFB/MidAmerica,Belleville,IL,152.14," 7,834 "
163,Cherry Capital,Traverse City,MI,382.55," 7,820 "
164,San Luis County Regional,San Luis Obispo,CA,421.02," 7,673 "
165,Gainesville Regional,Gainesville,FL,406.68," 7,501 "
166,Grand Junction Regional,Grand Junction,CO,388.06," 7,413 "
167,Fayetteville Regional/Grannis Field,Fayetteville,NC,413.26," 7,284 "
168,Lafayette Regional Paul Fournet Field,Lafayette,LA,489.34," 7,283 "
169,Key West International,Key West,FL,428.40," 7,172 "
170,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,399.82," 7,085 "
171,Jackson Hole,Jackson,WY,550.56," 6,897 "
172,Bangor International,Bangor,ME,362.82," 6,730 "
172,Albert J Ellis,Jacksonville/Camp Lejeune,NC,372.81," 6,730 "
174,Bellingham International,Bellingham,WA,241.37," 6,275 "
175,Evansville Regional,Evansville,IN,426.68," 6,241 "
176,Rickenbacker International,Columbus,OH,129.55," 6,072 "
177,Trenton Mercer,Trenton,NJ,122.36," 5,780 "
178,Melbourne International,Melbourne,FL,411.58," 5,736 "
179,Robert Gray AAF,Killeen,TX,386.56," 5,673 "
180,Central Il Regional Airport at Bloomington,Bloomington/Normal,IL,354.51," 5,651 "
181,Meadows Field,Bakersfield,CA,441.03," 5,574 "
182,Minot International,Minot,ND,402.16," 5,484 "
183,Juneau International,Juneau,AK,416.98," 5,358 "
184,Charles M. Schulz - Sonoma County,Santa Rosa,CA,312.62," 5,327 "
185,Tri Cities,Bristol/Johnson City/Kingsport,TN,479.41," 5,308 "
186,Aspen Pitkin County Sardy Field,Aspen,CO,540.81," 5,249 "
187,Yeager,Charleston/Dunbar,WV,472.67," 5,232 "
188,Chicago/Rockford International,Rockford,IL,166.36," 5,146 "
189,Idaho Falls Regional,Idaho Falls,ID,488.46," 5,099 "
190,Monterey Regional,Monterey,CA,377.38," 4,642 "
191,Great Falls International,Great Falls,MT,397.07," 4,569 "
192,Durango La Plata County,Durango,CO,482.80," 4,438 "
193,Montgomery Regional,Montgomery,AL,503.81," 4,379 "
194,University Park,State College,PA,430.16," 4,277 "
195,Henry E. Rohlsen,Christiansted,VI,466.53," 4,254 "
196,Toledo Express,Toledo,OH,242.51," 4,235 "
197,St George Regional,St. George,UT,389.65," 4,211 "
198,Newport News/Williamsburg International,Newport News/Williamsburg,VA,455.48," 4,202 "
199,Concord Padgett Regional,Concord,NC,117.75," 4,184 "
200,Duluth International,Duluth,MN,420.41," 3,842 "
201,Alexandria International,Alexandria,LA,481.08," 3,584 "
202,Rafael Hernandez,Aguadilla,PR,188.58," 3,561 "
203,Capital Region International,Lansing,MI,406.19," 3,557 "
204,Arnold Palmer Regional,Latrobe,PA,121.50," 3,491 "
205,Rochester International,Rochester,MN,396.49," 3,416 "
206,Tri-State/Milton J. Ferguson Field,Ashland,WV,253.60," 3,410 "
207,Central Wisconsin,Mosinee,WI,472.94," 3,370 "
208,Kalamazoo/Battle Creek International,Kalamazoo,MI,458.35," 3,353 "
209,Elmira/Corning Regional,Elmira/Corning,NY,349.38," 3,350 "
210,New York Stewart International,Newburgh/Poughkeepsie,NY,285.91," 3,323 "
211,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,409.82," 3,264 "
212,Montrose Regional,Montrose/Delta,CO,428.31," 3,252 "
213,Brownsville South Padre Island International,Brownsville,TX,390.12," 3,171 "
214,Plattsburgh International,Plattsburgh,NY,224.68," 3,158 "
215,Monroe Regional,Monroe,LA,462.37," 3,150 "
216,Provo Municipal,Provo,UT,99.47," 3,073 "
217,Columbia Regional,Columbia,MO,421.58," 3,052 "
218,Eagle County Regional,Eagle,CO,560.43," 3,036 "
219,La Crosse Regional,La Crosse,WI,479.16," 3,026 "
220,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,451.86," 2,985 "
221,Stockton Metropolitan,Stockton,CA,141.33," 2,969 "
222,Yuma MCAS/Yuma International,Yuma,AZ,453.32," 2,967 "
223,Grand Forks International,Grand Forks,ND,415.88," 2,950 "
224,Flagstaff Pulliam,Flagstaff,AZ,378.70," 2,936 "
225,Niagara Falls International,Niagara Falls,NY,169.90," 2,893 "
226,Lincoln Airport,Lincoln,NE,461.13," 2,856 "
227,MBS International,Saginaw/Bay City/Midland,MI,517.51," 2,824 "
228,Casper/Natrona County International,Casper,WY,530.16," 2,673 "
229,Erie International/Tom Ridge Field,Erie,PA,378.83," 2,670 "
230,Hilton Head Airport,Hilton Head,SC,431.32," 2,622 "
231,Ketchikan International,Ketchikan,AK,477.37," 2,607 "
232,Abilene Regional,Abilene,TX,541.33," 2,557 "
233,Laredo International,Laredo,TX,417.62," 2,538 "
234,Guam International,Guam,TT,1201.57," 2,498 "
235,Central Nebraska Regional,Grand Island,NE,293.58," 2,446 "
236,Helena Regional,Helena,MT,484.57," 2,418 "
237,Abraham Lincoln Capital,Springfield,IL,332.51," 2,369 "
238,Easterwood Field,College Station/Bryan,TX,454.10," 2,359 "
239,Santa Fe Municipal,Santa Fe,NM,405.33," 2,320 "
240,California Redwood Coast Humboldt County,Arcata/Eureka,CA,467.39," 2,194 "
241,Bethel Airport,Bethel,AK,367.21," 2,191 "
242,San Angelo Regional/Mathis Field,San Angelo,TX,534.17," 2,130 "
243,University of Illinois/Willard,Champaign/Urbana,IL,532.04," 2,115 "
244,Lake Charles Regional,Lake Charles,LA,515.36," 2,111 "
245,Ithaca Tompkins Regional,Ithaca/Cortland,NY,455.47," 2,077 "
246,Fort Smith Regional,Fort Smith,AR,514.46," 2,061 "
247,Manhattan Regional,Manhattan/Ft. Riley,KS,524.35," 2,060 "
248,Deadhorse Airport,Deadhorse,AK,419.82," 2,015 "
249,Yampa Valley,Hayden,CO,456.86," 1,955 "
250,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,469.52," 1,938 "
251,Pullman Moscow Regional,Pullman,WA,372.30," 1,891 "
252,Williston Basin International,Williston,ND,605.65," 1,870 "
253,Portsmouth International at Pease,Portsmouth,NH,217.79," 1,855 "
254,Yakima Air Terminal/McAllister Field,Yakima,WA,412.67," 1,807 "
255,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,473.48," 1,801 "
256,Tyler Pounds Regional,Tyler,TX,502.12," 1,738 "
257,Kodiak Airport,Kodiak,AK,500.26," 1,725 "
258,Pangborn Memorial,Wenatchee,WA,377.02," 1,631 "
259,Sawyer International,Marquette,MI,536.17," 1,569 "
260,Joplin Regional,Joplin,MO,428.69," 1,535 "
261,Waco Regional,Waco,TX,589.76," 1,517 "
262,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,433.59," 1,489 "
263,Sitka Rocky Gutierrez,Sitka,AK,410.22," 1,460 "
264,Joslin Field - Magic Valley Regional,Twin Falls,ID,609.94," 1,450 "
265,Pocatello Regional,Pocatello,ID,586.88," 1,418 "
266,Worcester Regional,Worcester,MA,319.98," 1,404 "
267,Valdosta Regional,Valdosta,GA,592.22," 1,356 "
268,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,467.28," 1,344 "
269,Roswell International Air Center,Roswell,NM,461.26," 1,332 "
270,Dothan Regional,Dothan,AL,562.00," 1,279 "
271,Columbus Airport,Columbus,GA,474.33," 1,222 "
272,St. Cloud Regional,St. Cloud,MN,246.32," 1,204 "
273,Mercedita,Ponce,PR,204.65," 1,188 "
274,Texarkana Regional-Webb Field,Texarkana,AR,539.74," 1,134 "
275,Redding Municipal,Redding,CA,493.01," 1,121 "
276,Walla Walla Regional,Walla Walla,WA,344.80," 1,118 "
277,Jack Brooks Regional,Beaumont/Port Arthur,TX,486.28," 1,083 "
278,Golden Triangle Regional,Columbus,MS,567.98," 1,079 "
279,Wiley Post/Will Rogers Memorial,Barrow,AK,482.67," 1,048 "
280,Garden City Regional,Garden City,KS,444.23," 1,033 "
281,Pitt Greenville,Greenville,NC,401.67," 1,029 "
282,Bemidji Regional,Bemidji,MN,549.18," 1,019 "
283,Lewiston Nez Perce County,Lewiston,ID,588.27," 1,008 "
284,Nome Airport,Nome,AK,518.02," 1,004 "
285,Sioux Gateway Brig Gen Bud Day Field,Sioux City,IA,441.42, 991 
286,Ralph Wien Memorial,Kotzebue,AK,459.07, 974 
287,Nantucket Memorial,Nantucket,MA,528.65, 970 
288,Southwest Georgia Regional,Albany,GA,510.17, 954 
289,East Texas Regional,Longview,TX,537.72, 935 
290,Brunswick Golden Isles,Brunswick,GA,522.76, 933 
291,Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,143.10, 925 
292,Yellowstone Regional,Cody,WY,510.66, 917 
293,Aberdeen Regional,Aberdeen,SD,561.89, 901 
294,North Central West Virginia,Clarksburg/Fairmont,WV,253.94, 895 
295,Pellston Regional Airport of Emmet County,Pellston,MI,570.17, 877 
296,Stillwater Regional,Stillwater,OK,442.36, 793 
297,Gillette Campbell County,Gillette,WY,547.23, 786 
298,Florence Regional,Florence,SC,444.14, 774 
299,Brainerd Lakes Regional,Brainerd,MN,598.43, 766 
300,Bert Mooney,Butte,MT,549.95, 745 
301,Rhinelander/Oneida County,Rhinelander,WI,551.80, 732 
302,Chippewa County International,Sault Ste. Marie,MI,539.72, 728 
303,Elko Regional,Elko,NV,610.07, 725 
304,Tweed New Haven,New Haven,CT,357.09, 708 
305,Francisco C. Ada Saipan International,Saipan,TT,383.13, 700 
306,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,112.89, 691 
307,Watertown International,Watertown,NY,407.11, 689 
308,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,522.57, 686 
308,Gunnison-Crested Butte Regional,Gunnison,CO,483.94, 686 
310,Dubuque Regional,Dubuque,IA,494.98, 670 
311,Ford,Iron Mountain/Kingsfd,MI,464.57, 661 
312,Ogdensburg International,Ogdensburg,NY,260.49, 637 
313,King Salmon Airport,King Salmon,AK,846.25, 633 
314,Kearney Regional,Kearney,NE,473.93, 603 
315,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,481.94, 598 
316,Key Field,Meridian,MS,436.71, 551 
317,Chippewa Valley Regional,Eau Claire,WI,471.79, 541 
318,Southwest Wyoming Regional,Rock Springs,WY,516.46, 536 
319,Range Regional,Hibbing,MN,533.82, 534 
320,Laramie Regional,Laramie,WY,499.60, 532 
321,Houghton County Memorial,Hancock/Houghton,MI,513.22, 527 
322,Martha's Vineyard Airport,Martha's Vineyard,MA,496.62, 523 
323,Lea County Regional,Hobbs,NM,473.92, 509 
324,Petersburg James A Johnson,Petersburg,AK,405.03, 507 
325,Merle K Mudhole Smith,Cordova,AK,379.23, 487 
326,Del Rio International,Del Rio,TX,414.01, 483 
327,Delta County,Escanaba,MI,446.65, 477 
328,Owensboro Daviess County Regional,Owensboro,KY,126.01, 459 
329,Williamsport Regional,Williamsport,PA,375.83, 456 
330,Sheridan County,Sheridan,WY,560.34, 443 
331,Dillingham Airport,Dillingham,AK,786.71, 442 
332,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,493.05, 429 
333,Waterloo Regional,Waterloo,IA,520.38, 416 
333,Alpena County Regional,Alpena,MI,469.97, 416 
335,Cedar City Regional,Cedar City,UT,409.20, 413 
336,North Platte Regional Airport Lee Bird Field,North Platte,NE,471.60, 408 
336,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,387.19, 408 
338,Ogden-Hinckley,Ogden,UT,103.72, 396 
339,Pierre Regional,Pierre,SD,484.55, 355 
340,Prescott Regional Ernest A Love Field,Prescott,AZ,490.25, 329 
341,Riverton Regional,Riverton/Lander,WY,517.96, 327 
342,Wrangell Airport,Wrangell,AK,342.02, 324 
343,Barkley Regional,Paducah,KY,565.75, 322 
344,Shenandoah Valley Regional,Staunton,VA,474.26, 307 
345,Pago Pago International,Pago Pago,TT,1093.51, 301 
346,Muskegon County,Muskegon,MI,419.56, 300 
346,Presque Isle International,Presque Isle/Houlton,ME,503.31, 300 
348,Falls International Einarson Field,International Falls,MN,481.87, 292 
349,Pueblo Memorial,Pueblo,CO,439.03, 281 
350,Vernal Regional,Vernal,UT,499.03, 264 
351,Salina Regional,Salina,KS,443.22, 263 
352,Hays Regional,Hays,KS,508.10, 256 
353,Watertown Regional,Watertown,SD,420.26, 232 
354,Canyonlands Field,Moab,UT,411.31, 205 
355,Jamestown Regional,Jamestown,ND,529.64, 198 
355,Southwest Oregon Regional,North Bend/Coos Bay,OR,418.09, 198 
357,Mammoth Lakes Airport,Mammoth Lakes,CA,288.63, 197 
358,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,373.97, 189 
359,Cape Girardeau Regional,Cape Girardeau,MO,518.69, 188 
360,Yakutat Airport,Yakutat,AK,437.13, 185 
361,Mobile Downtown,Mobile,AL,131.77, 175 
362,Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,388.93, 170 
363,Devils Lake Regional,Devils Lake,ND,467.48, 153 
363,Molokai,Hoolehua,HI,245.88, 153 
365,Liberal Mid-America Regional,Liberal,KS,436.77, 145 
366,Quincy Regional-Baldwin Field,Quincy,IL,380.00, 137 
367,Greenbrier Valley,Lewisburg,WV,479.82, 122 
368,Decatur Airport,Decatur,IL,364.49, 119 
369,San Luis Valley Regional/Bergman Field,Alamosa,CO,478.28, 113 
370,Dodge City Regional,Dodge City,KS,504.80, 107 
371,Veterans Airport of Southern Illinois,Marion/Herrin,IL,427.33, 105 
372,Lanai Airport,Lanai,HI,235.07, 99 
373,Kenai Municipal,Kenai,AK,594.54, 95 
374,Cold Bay Airport,Cold Bay,AK,1012.43, 88 
375,Cortez Municipal,Cortez,CO,407.87, 77 
376,Homer Airport,Homer,AK,593.77, 66 
377,Victoria Regional,Victoria,TX,334.94, 64 
378,Lebanon Municipal,Lebanon-Hanover,NH,360.56, 59 
379,Adak,Adak Island,AK,1168.26, 55 
380,Barnstable Municipal-Boardman/Polando Field,Hyannis,MA,405.78, 54 
381,Rutland - Southern Vermont Regional,Rutland,VT,393.89, 53 
382,Kapalua Airport,Kapalua,HI,285.98, 52 
383,Hancock County-Bar Harbor,Bar Harbor,ME,551.83, 49 
384,Kirksville Regional,Kirksville,MO,485.43, 48 
384,Chadron Municipal,Chadron,NE,305.12, 48 
386,Augusta State,Augusta/Waterville,ME,427.43, 47 
387,McCook Ben Nelson Regional,McCook,NE,410.75, 43 
387,Telluride Regional,Telluride,CO,684.77, 43 
389,Eugenio Maria de Hostos,Mayaguez,PR,471.67, 42 
389,Morgantown Municipal-Walter L. Bill Hart Field,Morgantown,WV,373.31, 42 
391,Knox County Regional,Rockland,ME,417.27, 36 
392,Provincetown Municipal,Provincetown,MA,396.77, 35 
393,Tupelo Regional,Tupelo,MS,429.00, 33 
393,Eastern Oregon Regional at Pendleton,Pendleton,OR,415.08, 33 
395,Clovis Municipal,Clovis,NM,346.89, 32 
395,DuBois Regional,DuBois,PA,487.00, 32 
395,Mid-Ohio Valley Regional,Parkersburg,WV,450.00, 32 
398,John Murtha Johnstown-Cambria County,Johnstown,PA,539.57, 31 
399,Massena International-Richards Field,Massena,NY,274.67, 30 
400,Thief River Falls Regional,Thief River Falls,MN,336.33, 29 
401,Raleigh County Memorial,Beckley,WV,590.33, 28 
401,Show Low Regional,Show Low,AZ,480.25, 28 
403,Mankato Regional,Mankato,MN,254.76, 26 
403,Cavern City Air Terminal,Carlsbad,NM,432.20, 26 
405,Bradford Regional,Bradford,PA,479.33, 25 
405,Antonio Rivera Rodriguez,Vieques,PR,677.18, 25 
407,Northwest Alabama Regional,Muscle Shoals,AL,635.00, 22 
407,Altoona-Blair County,Altoona,PA,301.75, 22 
409,Imperial County,El Centro,CA,345.50, 21 
409,Adirondack Regional,Saranac Lake/Lake Placid,NY,402.92, 21 
411,Benjamin Rivera Noriega,Culebra,PR,359.93, 17 
411,Sidney Richland Regional,Sidney,MT,512.50, 17 
413,Page Municipal,Page,AZ,626.40, 15 
413,Alliance Municipal,Alliance,NE,451.00, 15 
415,Greenville Mid Delta,Greenville,MS,278.67, 14 
415,Valdez Pioneer Field,Valdez,AK,666.38, 14 
417,Merced Regional/Macready Field,Merced,CA,453.80, 12 
418,South Arkansas Regional at Goodwin Field,El Dorado,AR,440.25, 9 
418,Lancaster Airport,Lancaster,PA,257.00, 9 
420,Boone County,Harrison,AR,288.33, 8 
420,Memorial Field,Hot Springs,AR,392.00, 8 
422,Dawson Community,Glendive,MT,474.50, 6 
423,L. M. Clayton,Wolf Point,MT,893.00, 5 
424,Jack McNamara Field,Crescent City,CA,369.00, 4 
424,Sand Point,Sandpoint,AK,729.00, 4 
426,Middle Georgia Regional,Macon,GA,426.00, 3 
426,Unalaska Airport,Unalaska,AK,1074.33, 3 
428,Wokal Field Glasgow Valley County,Glasgow,MT,332.00, 2 
429,Toksook Bay,Toksook,AK,561.00, 1 
