2020_Passenger_Rank, Airport_Name , City_Name , State_Name , Average_Fare , Sample_Size 
1,Los Angeles International,Los Angeles,CA,328.17," 513,309 "
2,Hartsfield-Jackson Atlanta International,Atlanta,GA,359.58," 415,199 "
3,Denver International,Denver,CO,295.96," 412,135 "
4,Chicago O'Hare International,Chicago-O'Hare,IL,332.05," 401,710 "
5,Dallas/Fort Worth International,Dallas-DFW,TX,400.52," 351,090 "
6,Seattle/Tacoma International,Seattle,WA,307.52," 341,746 "
7,Phoenix Sky Harbor International,Phoenix,AZ,321.07," 327,847 "
8,Newark Liberty International,Newark,NJ,369.92," 323,775 "
9,Logan International,Boston,MA,324.85," 299,313 "
10,Orlando International,Orlando,FL,240.14," 295,129 "
11,San Francisco International,San Francisco,CA,371.76," 272,547 "
12,Minneapolis-St Paul International,Minneapolis,MN,368.08," 269,224 "
13,McCarran International,Las Vegas,NV,233.78," 261,385 "
14,Detroit Metro Wayne County,Detroit,MI,362.02," 239,174 "
15,John F. Kennedy International,New York-JFK,NY,388.19," 234,195 "
16,Philadelphia International,Philadelphia,PA,364.30," 228,995 "
17,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,243.16," 226,114 "
18,San Diego International,San Diego,CA,303.99," 219,097 "
19,LaGuardia,New York-La Guardia,NY,323.66," 215,491 "
20,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,394.33," 211,888 "
21,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,308.59," 195,493 "
22,Tampa International,Tampa,FL,290.46," 193,783 "
23,Portland International,Portland,OR,308.35," 179,324 "
24,Salt Lake City International,Salt Lake City,UT,364.52," 173,967 "
25,Miami International,Miami,FL,314.31," 171,726 "
26,Ronald Reagan Washington National,Washington-Reagan National,DC,359.95," 168,476 "
27,Austin - Bergstrom International,Austin,TX,317.02," 155,520 "
28,Charlotte Douglas International,Charlotte,NC,393.31," 155,403 "
29,Nashville International,Nashville,TN,326.36," 150,927 "
30,Sacramento International,Sacramento,CA,308.99," 149,596 "
31,Chicago Midway International,Chicago-Midway,IL,281.92," 135,524 "
32,St Louis Lambert International,St. Louis,MO,363.53," 128,756 "
33,Raleigh-Durham International,Raleigh/Durham,NC,322.21," 126,266 "
34,Kansas City International,Kansas City,MO,366.88," 118,305 "
35,Indianapolis International,Indianapolis,IN,333.39," 117,586 "
36,Dallas Love Field,Dallas-Love Field,TX,310.19," 117,445 "
37,Louis Armstrong New Orleans International,New Orleans,LA,287.37," 112,608 "
38,Norman Y. Mineta San Jose International,San Jose,CA,272.38," 112,269 "
39,Daniel K Inouye International,Honolulu,HI,300.93," 108,750 "
40,Cleveland-Hopkins International,Cleveland,OH,301.08," 108,010 "
41,William P Hobby,Houston-Hobby,TX,324.40," 105,565 "
42,Pittsburgh International,Pittsburgh,PA,342.28," 102,705 "
43,Cincinnati/Northern Kentucky International,Cincinnati,OH,315.56," 102,511 "
44,Metropolitan Oakland International,Oakland,CA,280.62," 102,450 "
45,Luis Munoz Marin International,San Juan,PR,242.70," 100,845 "
46,San Antonio International,San Antonio,TX,359.31," 97,321 "
47,Washington Dulles International,Washington-Dulles,DC,450.35," 96,193 "
48,John Wayne Airport-Orange County,Santa Ana,CA,378.53," 94,229 "
49,John Glenn Columbus International,Columbus,OH,350.49," 92,756 "
50,Southwest Florida International,Fort Myers,FL,281.74," 91,522 "
51,General Mitchell International,Milwaukee,WI,339.95," 77,311 "
52,Ontario International,Ontario,CA,318.71," 72,559 "
53,Bradley International,Hartford,CT,356.73," 71,669 "
54,Jacksonville International,Jacksonville,FL,354.63," 70,634 "
55,Palm Beach International,West Palm Beach/Palm Beach,FL,322.66," 65,326 "
56,Eppley Airfield,Omaha,NE,360.90," 59,973 "
57,Memphis International,Memphis,TN,369.54," 57,795 "
58,Bob Hope,Burbank,CA,267.98," 56,111 "
59,Gerald R. Ford International,Grand Rapids,MI,336.86," 55,148 "
60,Boise Air Terminal,Boise,ID,331.89," 52,835 "
61,Will Rogers World,Oklahoma City,OK,373.83," 52,642 "
62,Norfolk International,Norfolk,VA,383.17," 51,908 "
63,Richmond International,Richmond,VA,374.11," 50,731 "
64,Spokane International,Spokane,WA,331.15," 50,375 "
65,Ted Stevens Anchorage International,Anchorage,AK,458.72," 48,475 "
66,Louisville Muhammad Ali International,Louisville,KY,369.67," 45,681 "
67,Reno/Tahoe International,Reno,NV,336.10," 44,389 "
68,Albuquerque International Sunport,Albuquerque,NM,343.84," 44,173 "
69,Charleston AFB/International,Charleston,SC,353.88," 43,886 "
70,Buffalo Niagara International,Buffalo,NY,319.06," 43,543 "
71,Tucson International,Tucson,AZ,349.23," 42,718 "
72,El Paso International,El Paso,TX,355.04," 41,316 "
73,Theodore Francis Green State,Providence,RI,322.52," 40,411 "
74,Des Moines International,Des Moines,IA,366.56," 39,455 "
75,Tulsa International,Tulsa,OK,391.95," 37,471 "
76,Birmingham-Shuttlesworth International,Birmingham,AL,424.36," 36,376 "
77,Kahului Airport,Kahului,HI,271.48," 34,993 "
78,Albany International,Albany,NY,367.26," 31,515 "
79,Greenville-Spartanburg International,Greer,SC,387.86," 28,507 "
80,McGhee Tyson,Knoxville,TN,387.01," 28,056 "
81,Pensacola International,Pensacola,FL,400.44," 27,952 "
82,Long Beach Airport,Long Beach,CA,213.87," 27,799 "
83,Syracuse Hancock International,Syracuse,NY,347.46," 27,534 "
84,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,397.42," 27,280 "
85,Greater Rochester International,Rochester,NY,368.42," 26,308 "
86,Dane County Regional-Truax Field,Madison,WI,403.76," 26,231 "
87,Fresno Yosemite International,Fresno,CA,373.67," 25,516 "
88,Savannah/Hilton Head International,Savannah,GA,379.69," 23,828 "
89,Phoenix - Mesa Gateway,Phoenix,AZ,129.08," 22,808 "
90,Ellison Onizuka Kona International at Keahole,Kona,HI,261.88," 22,605 "
91,Sarasota/Bradenton International,Sarasota/Bradenton,FL,316.98," 22,536 "
92,Portland International Jetport,Portland,ME,348.39," 22,402 "
93,Wichita Dwight D Eisenhower National,Wichita,KS,382.82," 22,370 "
94,St Pete Clearwater International,St. Petersburg,FL,116.92," 22,195 "
95,Piedmont Triad International,Greensboro/High Point,NC,396.70," 21,470 "
96,Orlando Sanford International,Sanford,FL,115.78," 21,371 "
97,Palm Springs International,Palm Springs,CA,352.47," 20,153 "
98,The Eastern Iowa,Cedar Rapids/Iowa City,IA,364.38," 19,835 "
99,City of Colorado Springs Municipal,Colorado Springs,CO,382.39," 19,435 "
100,James M Cox/Dayton International,Dayton,OH,430.11," 19,144 "
101,Northwest Arkansas Regional,Fayetteville,AR,447.23," 19,091 "
102,Harrisburg International,Harrisburg,PA,393.61," 18,678 "
103,Punta Gorda Airport,Punta Gorda,FL,129.62," 18,126 "
104,Joe Foss Field,Sioux Falls,SD,381.18," 17,542 "
105,Midland International Air and Space Port,Midland/Odessa,TX,457.79," 17,430 "
106,Bozeman Yellowstone International,Bozeman,MT,404.76," 17,390 "
107,Manchester-Boston Regional,Manchester,NH,372.19," 17,389 "
108,Lihue Airport,Lihue,HI,244.11," 17,204 "
109,Blue Grass,Lexington,KY,391.55," 16,972 "
110,Springfield-Branson National,Springfield,MO,412.19," 16,962 "
111,Myrtle Beach International,Myrtle Beach,SC,315.45," 16,136 "
112,Mahlon Sweet Field,Eugene,OR,340.87," 15,904 "
113,Columbia Metropolitan,Columbia,SC,437.85," 15,885 "
