2020_Passenger_Rank, Airport_Name , City_Name , State_Name , Average_Fare , Sample_Size 
111,Myrtle Beach International,Myrtle Beach,SC,249.5,16136
112,Mahlon Sweet Field,Eugene,OR,283.8,15904
113,Columbia Metropolitan,Columbia,SC,367.8,15885
114,Asheville Regional,Asheville,NC,231.77,15417
115,Huntsville International-Carl T Jones Field,Huntsville,AL,408.17,14961
116,Hector International,Fargo,ND,329.69,14872
117,Rogue Valley International - Medford,Medford,OR,293.35,14869
118,Westchester County,White Plains,NY,261.22,14570
119,Long Island MacArthur,Islip,NY,224.48,14530
120,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,333.16,14364
121,Fort Wayne International,Fort Wayne,IN,276.23,14350
122,Northwest Florida Beaches International,Panama City,FL,299.04,14194
123,South Bend International,South Bend,IN,257.4,13793
124,Lubbock Preston Smith International,Lubbock,TX,318.37,13788
125,Lovell Field,Chattanooga,TN,326.44,13326
126,Wilmington International,Wilmington,NC,337.2,13077
127,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,226.19,12746
128,Roberts Field,Bend/Redmond,OR,299,12509
129,Appleton International,Appleton,WI,304.33,12215
130,Hilo International,Hilo,HI,144.36,12094
131,Billings Logan International,Billings,MT,320.12,12050
132,Bishop International,Flint,MI,226.29,11993
133,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,396.79,11912
134,Tri Cities,Pasco/Kennewick/Richland,WA,294.44,11705
135,Burlington International,Burlington,VT,350.5,11596
136,McAllen Miller International,Mission/McAllen/Edinburg,TX,325.79,11491
137,General Downing - Peoria International,Peoria,IL,244.12,11481
138,Fairbanks International,Fairbanks,AK,421.39,11087
139,Missoula International,Missoula,MT,324.14,10386
140,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,359.13,10352
141,Atlantic City International,Atlantic City,NJ,107.84,10197
142,Santa Barbara Municipal,Santa Barbara,CA,358.24,10103
143,Cyril E King,Charlotte Amalie,VI,271.68,10006
144,Quad City International,Moline,IL,278.27,9868
145,Rick Husband Amarillo International,Amarillo,TX,316.23,9769
146,Tallahassee International,Tallahassee,FL,396.11,9618
147,Augusta Regional at Bush Field,Augusta,GA,329.25,9538
148,Bismarck Municipal,Bismarck/Mandan,ND,312.9,9435
149,Shreveport Regional,Shreveport,LA,393.88,8869
150,Corpus Christi International,Corpus Christi,TX,329.49,8745
151,Rapid City Regional,Rapid City,SD,346.46,8653
152,Glacier Park International,Kalispell,MT,361.44,8569
153,Akron-Canton Regional,Akron,OH,293.84,8533
154,Snohomish County,Everett,WA,245.48,8406
155,Valley International,Harlingen/San Benito,TX,273.29,8403
156,Green Bay Austin Straubel International,Green Bay,WI,372.07,8207
157,Mobile Regional,Mobile,AL,372.04,8113
158,Charlottesville Albemarle,Charlottesville,VA,322.52,8104
159,Roanoke Blacksburg Regional Woodrum Field,Roanoke,VA,352.07,7934
160,Daytona Beach International,Daytona Beach,FL,295.23,7911
161,Gulfport-Biloxi International,Gulfport/Biloxi,MS,338.96,7841
162,Scott AFB/MidAmerica,Belleville,IL,137.61,7834
163,Cherry Capital,Traverse City,MI,342.3,7820
164,San Luis County Regional,San Luis Obispo,CA,360.66,7673
165,Gainesville Regional,Gainesville,FL,342.53,7501
166,Grand Junction Regional,Grand Junction,CO,338.57,7413
167,Fayetteville Regional/Grannis Field,Fayetteville,NC,355.53,7284
168,Lafayette Regional Paul Fournet Field,Lafayette,LA,370.59,7283
169,Key West International,Key West,FL,345.53,7172
170,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,329.13,7085
171,Jackson Hole,Jackson,WY,403.89,6897
172,Bangor International,Bangor,ME,259.21,6730
172,Albert J Ellis,Jacksonville/Camp Lejeune,NC,324.79,6730
174,Bellingham International,Bellingham,WA,233.43,6275
175,Evansville Regional,Evansville,IN,346.3,6241
176,Rickenbacker International,Columbus,OH,138.81,6072
177,Trenton Mercer,Trenton,NJ,124.16,5780
178,Melbourne International,Melbourne,FL,326.66,5736
179,Robert Gray AAF,Killeen,TX,324.85,5673
180,Central Il Regional Airport at Bloomington,Bloomington/Normal,IL,284.54,5651
181,Meadows Field,Bakersfield,CA,354.6,5574
182,Minot International,Minot,ND,363.77,5484
183,Juneau International,Juneau,AK,405.51,5358
184,Charles M. Schulz - Sonoma County,Santa Rosa,CA,269.11,5327
185,Tri Cities,Bristol/Johnson City/Kingsport,TN,376.1,5308
186,Aspen Pitkin County Sardy Field,Aspen,CO,497.21,5249
187,Yeager,Charleston/Dunbar,WV,390.17,5232
188,Chicago/Rockford International,Rockford,IL,170.34,5146
189,Idaho Falls Regional,Idaho Falls,ID,352.83,5099
190,Monterey Regional,Monterey,CA,313.03,4642
191,Great Falls International,Great Falls,MT,326.57,4569
192,Durango La Plata County,Durango,CO,422.42,4438
193,Montgomery Regional,Montgomery,AL,397.06,4379
194,University Park,State College,PA,357.46,4277
195,Henry E. Rohlsen,Christiansted,VI,304.34,4254
196,Toledo Express,Toledo,OH,200.85,4235
197,St George Regional,St. George,UT,334.38,4211
198,Newport News/Williamsburg International,Newport News/Williamsburg,VA,359.87,4202
199,Concord Padgett Regional,Concord,NC,102.6,4184
200,Duluth International,Duluth,MN,377.08,3842
201,Alexandria International,Alexandria,LA,396.39,3584
202,Capital Region International,Lansing,MI,314.77,3557
203,Arnold Palmer Regional,Latrobe,PA,104.2,3491
204,Rochester International,Rochester,MN,289.75,3416
205,Tri-State/Milton J. Ferguson Field,Ashland,WV,175.92,3410
206,Central Wisconsin,Mosinee,WI,382.34,3370
207,Kalamazoo/Battle Creek International,Kalamazoo,MI,359.68,3353
208,Elmira/Corning Regional,Elmira/Corning,NY,226.24,3350
209,New York Stewart International,Newburgh/Poughkeepsie,NY,153.07,3323
210,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,337.34,3264
211,Montrose Regional,Montrose/Delta,CO,291.77,3252
212,Brownsville South Padre Island International,Brownsville,TX,329,3171
213,Plattsburgh International,Plattsburgh,NY,174.33,3158
214,Monroe Regional,Monroe,LA,407.69,3150
215,Provo Municipal,Provo,UT,110.26,3073
216,Columbia Regional,Columbia,MO,408.42,3052
217,Eagle County Regional,Eagle,CO,458.33,3036
218,La Crosse Regional,La Crosse,WI,326.64,3026
219,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,323.4,2985
220,Stockton Metropolitan,Stockton,CA,113.24,2969
221,Yuma MCAS/Yuma International,Yuma,AZ,374.61,2967
222,Grand Forks International,Grand Forks,ND,332.61,2950
223,Flagstaff Pulliam,Flagstaff,AZ,312.8,2936
224,Niagara Falls International,Niagara Falls,NY,111.21,2893
225,Lincoln Airport,Lincoln,NE,397.45,2856
226,MBS International,Saginaw/Bay City/Midland,MI,441.86,2824
227,Casper/Natrona County International,Casper,WY,487.1,2673
228,Erie International/Tom Ridge Field,Erie,PA,317.6,2670
229,Hilton Head Airport,Hilton Head,SC,309.97,2622
230,Ketchikan International,Ketchikan,AK,466.44,2607
231,Abilene Regional,Abilene,TX,382.79,2557
232,Laredo International,Laredo,TX,359.96,2538
233,Guam International,Guam,TT,1617.81,2498
234,Central Nebraska Regional,Grand Island,NE,230.72,2446
235,Helena Regional,Helena,MT,429.25,2418
236,Abraham Lincoln Capital,Springfield,IL,261.1,2369
237,Easterwood Field,College Station/Bryan,TX,338.96,2359
238,Santa Fe Municipal,Santa Fe,NM,319.07,2320
239,California Redwood Coast Humboldt County,Arcata/Eureka,CA,459.59,2194
240,Bethel Airport,Bethel,AK,359.25,2191
241,San Angelo Regional/Mathis Field,San Angelo,TX,399.28,2130
242,University of Illinois/Willard,Champaign/Urbana,IL,358.68,2115
243,Lake Charles Regional,Lake Charles,LA,411.23,2111
244,Ithaca Tompkins Regional,Ithaca/Cortland,NY,359.02,2077
245,Fort Smith Regional,Fort Smith,AR,409.45,2061
246,Manhattan Regional,Manhattan/Ft. Riley,KS,441.13,2060
247,Deadhorse Airport,Deadhorse,AK,540.6,2015
248,Yampa Valley,Hayden,CO,282.14,1955
249,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,352.1,1938
250,Pullman Moscow Regional,Pullman,WA,294.28,1891
251,Williston Basin International,Williston,ND,457.92,1870
252,Portsmouth International at Pease,Portsmouth,NH,117.06,1855
253,Yakima Air Terminal/McAllister Field,Yakima,WA,308.39,1807
254,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,399.59,1801
255,Tyler Pounds Regional,Tyler,TX,361.99,1738
256,Kodiak Airport,Kodiak,AK,504.41,1725
257,Pangborn Memorial,Wenatchee,WA,290.89,1631
258,Sawyer International,Marquette,MI,408.3,1569
259,Joplin Regional,Joplin,MO,362.35,1535
260,Waco Regional,Waco,TX,384.91,1517
261,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,356.51,1489
262,Sitka Rocky Gutierrez,Sitka,AK,426.29,1460
263,Joslin Field - Magic Valley Regional,Twin Falls,ID,446.25,1450
264,Pocatello Regional,Pocatello,ID,409.94,1418
265,Valdosta Regional,Valdosta,GA,473.78,1356
266,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,390.52,1344
267,Roswell International Air Center,Roswell,NM,402.13,1332
268,Dothan Regional,Dothan,AL,510.28,1279
269,Columbus Airport,Columbus,GA,400.18,1222
270,St. Cloud Regional,St. Cloud,MN,194.6,1204
271,Texarkana Regional-Webb Field,Texarkana,AR,369.57,1134
272,Redding Municipal,Redding,CA,405.21,1121
273,Walla Walla Regional,Walla Walla,WA,276.02,1118
274,Jack Brooks Regional,Beaumont/Port Arthur,TX,352.07,1083
275,Golden Triangle Regional,Columbus,MS,477.06,1079
276,Wiley Post/Will Rogers Memorial,Barrow,AK,472.58,1048
277,Garden City Regional,Garden City,KS,366.26,1033
278,Pitt Greenville,Greenville,NC,324.11,1029
279,Bemidji Regional,Bemidji,MN,495.17,1019
280,Lewiston Nez Perce County,Lewiston,ID,450.26,1008
281,Nome Airport,Nome,AK,543.66,1004
